,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
191,184,Liechtenstein,3198,+13,59,,"3,071",+6,68,1,"83,603","1,542","49,126","1,284,273"
138,131,Guadeloupe,31861,,264,,"2,250",,"29,347",23,"79,612",660,"305,407","763,134"
22,15,Mexico,3152205,"+28,953","250,469",+940,"2,486,658","+16,625","415,078","4,798","24,162","1,920","9,230,161","70,751"
192,185,Monaco,3099,,33,,"2,950",,116,6,"78,345",834,"54,960","1,389,423"
139,132,Mauritania,30897,,653,,"27,042",,"3,202",16,"6,454",136,"417,530","87,221"
79,72,Vietnam,302101,,"6,770",,"115,059",,"180,272",,"3,072",69,"15,271,562","155,315"
80,73,Oman,300914,+186,"4,020",+7,"289,450",+320,"7,444",86,"57,288",765,"1,550,000","295,089"
218,211,Saint Pierre Miquelon,30,,,,30,,0,,"5,207",,"7,800","1,353,697"
226,219,Samoa,3,,,,3,,0,,15,,,
193,186,New Zealand,2954,+16,26,,"2,873",+2,55,,591,5,"2,584,336","516,650"
81,74,Lithuania,291969,+506,"4,466",+2,"274,693",+491,"12,810",85,"108,972","1,667","4,274,974","1,595,560"
82,75,Ethiopia,291803,,"4,505",,"266,080",,"21,218",448,"2,469",38,"3,134,967","26,530"
83,76,Libya,291168,"+1,949","4,001",+33,"210,589","+1,178","76,578",,"41,735",573,"1,452,284","208,165"
23,16,Poland,2886079,+197,"75,311",+4,"2,655,781",+193,"154,987",46,"76,352","1,992","19,297,919","510,530"
84,77,Egypt,285700,,"16,638",,"234,878",,"34,184",90,"2,734",159,"3,068,679","29,363"
140,133,Guinea,28428,+120,302,+3,"25,765",+245,"2,361",24,"2,101",22,"524,811","38,780"
212,205,Greenland,273,,,,171,,102,2,"4,799",,"51,956","913,416"
141,134,Martinique,27255,,166,,104,,"26,985",1,"72,692",443,"268,763","716,824"
194,187,Bermuda,2715,,33,,"2,569",,113,1,"43,778",532,"428,834","6,914,670"
195,188,Saint Martin,2713,,39,,"1,399",,"1,275",7,"68,842",990,"46,787","1,187,216"
85,78,Bahrain,271257,,"1,385",,"268,737",,"1,135",5,"153,431",783,"5,722,724","3,236,945"
219,212,Vatican City,27,,,,27,,0,,"33,624",,,
142,135,Suriname,26916,,692,,"22,937",,"3,287",19,"45,423","1,168","97,609","164,724"
